"Date","Price","Open","High","Low","Vol.","Change %"
"11/07/2019","28,454.0","28,199.0","28,614.0","28,138.0","180.77K","0.89%"
"12/07/2019","28,539.0","28,455.0","28,609.0","28,289.0","176.94K","0.30%"
"15/07/2019","28,523.0","28,530.0","28,598.0","28,052.0","203.78K","-0.06%"
"16/07/2019","28,622.0","28,530.0","28,661.0","28,474.0","163.81K","0.35%"
"17/07/2019","28,616.0","28,621.0","28,657.0","28,358.0","160.08K","-0.02%"
"18/07/2019","28,427.0","28,616.0","28,638.0","28,311.0","174.23K","-0.66%"
"19/07/2019","28,821.0","28,451.0","28,841.0","28,393.0","159.69K","1.39%"
"22/07/2019","28,373.0","28,814.0","28,814.0","28,281.0","216.57K","-1.55%"
"23/07/2019","28,459.0","28,362.0","28,489.0","28,290.0","144.45K","0.30%"
"24/07/2019","28,536.0","28,476.0","28,774.0","28,441.0","170.54K","0.27%"
"25/07/2019","28,586.0","28,524.0","28,652.0","28,490.0","174.30K","0.18%"
"26/07/2019","28,385.0","28,582.0","28,663.0","28,311.0","228.93K","-0.70%"
"29/07/2019","28,135.0","28,388.0","28,427.0","27,937.0","200.78K","-0.88%"
"30/07/2019","28,201.0","28,128.0","28,253.0","28,062.0","27.19K","0.23%"
"31/07/2019","27,757.0","28,109.0","28,109.0","27,632.0","171.84K","-1.57%"
"01/08/2019","27,445.0","27,525.0","27,685.0","27,401.0","168.54K","-1.12%"
"02/08/2019","26,818.0","27,458.0","27,660.0","26,688.0","215.40K","-2.28%"
"05/08/2019","26,033.0","26,803.0","26,880.0","25,999.0","265.53K","-2.93%"
"06/08/2019","25,971.0","26,023.0","26,118.0","25,219.0","321.99K","-0.24%"
"07/08/2019","25,943.0","25,973.0","26,085.0","25,634.0","234.83K","-0.11%"
"08/08/2019","26,019.0","25,946.0","26,246.0","25,595.0","216.73K","0.29%"
"09/08/2019","25,891.0","26,038.0","26,206.0","25,820.0","175.14K","-0.49%"
